Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths
Victoria,Australia,-37.8136,144.9631,2/8/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/8/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/9/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/9/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/9/20,0,0
Queensland,Australia,-28.0167,153.4,2/9/20,5,0
South Australia,Australia,-34.9285,138.6007,2/9/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/9/20,0,0
Victoria,Australia,-37.8136,144.9631,2/9/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/9/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/10/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/10/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/10/20,0,0
Queensland,Australia,-28.0167,153.4,2/10/20,5,0
South Australia,Australia,-34.9285,138.6007,2/10/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/10/20,0,0
Victoria,Australia,-37.8136,144.9631,2/10/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/10/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/11/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/11/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/11/20,0,0
Queensland,Australia,-28.0167,153.4,2/11/20,5,0
South Australia,Australia,-34.9285,138.6007,2/11/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/11/20,0,0
Victoria,Australia,-37.8136,144.9631,2/11/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/11/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/12/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/12/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/12/20,0,0
Queensland,Australia,-28.0167,153.4,2/12/20,5,0
South Australia,Australia,-34.9285,138.6007,2/12/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/12/20,0,0
Victoria,Australia,-37.8136,144.9631,2/12/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/12/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/13/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/13/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/13/20,0,0
Queensland,Australia,-28.0167,153.4,2/13/20,5,0
South Australia,Australia,-34.9285,138.6007,2/13/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/13/20,0,0
Victoria,Australia,-37.8136,144.9631,2/13/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/13/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/14/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/14/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/14/20,0,0
Queensland,Australia,-28.0167,153.4,2/14/20,5,0
South Australia,Australia,-34.9285,138.6007,2/14/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/14/20,0,0
Victoria,Australia,-37.8136,144.9631,2/14/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/14/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/15/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/15/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/15/20,0,0
Queensland,Australia,-28.0167,153.4,2/15/20,5,0
South Australia,Australia,-34.9285,138.6007,2/15/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/15/20,0,0
Victoria,Australia,-37.8136,144.9631,2/15/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/15/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/16/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/16/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/16/20,0,0
Queensland,Australia,-28.0167,153.4,2/16/20,5,0
South Australia,Australia,-34.9285,138.6007,2/16/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/16/20,0,0
Victoria,Australia,-37.8136,144.9631,2/16/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/16/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/17/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/17/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/17/20,0,0
Queensland,Australia,-28.0167,153.4,2/17/20,5,0
South Australia,Australia,-34.9285,138.6007,2/17/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/17/20,0,0
Victoria,Australia,-37.8136,144.9631,2/17/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/17/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/18/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/18/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/18/20,0,0
Queensland,Australia,-28.0167,153.4,2/18/20,5,0
South Australia,Australia,-34.9285,138.6007,2/18/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/18/20,0,0
Victoria,Australia,-37.8136,144.9631,2/18/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/18/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/19/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/19/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/19/20,0,0
Queensland,Australia,-28.0167,153.4,2/19/20,5,0
South Australia,Australia,-34.9285,138.6007,2/19/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/19/20,0,0
Victoria,Australia,-37.8136,144.9631,2/19/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/19/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/20/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/20/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/20/20,0,0
Queensland,Australia,-28.0167,153.4,2/20/20,5,0
South Australia,Australia,-34.9285,138.6007,2/20/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/20/20,0,0
Victoria,Australia,-37.8136,144.9631,2/20/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/20/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/21/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/21/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/21/20,0,0
Queensland,Australia,-28.0167,153.4,2/21/20,5,0
South Australia,Australia,-34.9285,138.6007,2/21/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/21/20,0,0
Victoria,Australia,-37.8136,144.9631,2/21/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/21/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/22/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/22/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/22/20,0,0
Queensland,Australia,-28.0167,153.4,2/22/20,5,0
South Australia,Australia,-34.9285,138.6007,2/22/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/22/20,0,0
Victoria,Australia,-37.8136,144.9631,2/22/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/22/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/23/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/23/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/23/20,0,0
Queensland,Australia,-28.0167,153.4,2/23/20,5,0
South Australia,Australia,-34.9285,138.6007,2/23/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/23/20,0,0
Victoria,Australia,-37.8136,144.9631,2/23/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/23/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/24/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/24/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/24/20,0,0
Queensland,Australia,-28.0167,153.4,2/24/20,5,0
South Australia,Australia,-34.9285,138.6007,2/24/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/24/20,0,0
Victoria,Australia,-37.8136,144.9631,2/24/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/24/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/25/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/25/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/25/20,0,0
Queensland,Australia,-28.0167,153.4,2/25/20,5,0
South Australia,Australia,-34.9285,138.6007,2/25/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/25/20,0,0
Victoria,Australia,-37.8136,144.9631,2/25/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/25/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/26/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/26/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/26/20,0,0
Queensland,Australia,-28.0167,153.4,2/26/20,5,0
South Australia,Australia,-34.9285,138.6007,2/26/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/26/20,0,0
Victoria,Australia,-37.8136,144.9631,2/26/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/26/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/27/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/27/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/27/20,0,0
Queensland,Australia,-28.0167,153.4,2/27/20,5,0
South Australia,Australia,-34.9285,138.6007,2/27/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/27/20,0,0
Victoria,Australia,-37.8136,144.9631,2/27/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/27/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/28/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/28/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/28/20,0,0
Queensland,Australia,-28.0167,153.4,2/28/20,5,0
South Australia,Australia,-34.9285,138.6007,2/28/20,2,0
Tasmania,Australia,-41.4545,145.9707,2/28/20,0,0
Victoria,Australia,-37.8136,144.9631,2/28/20,4,0
Western Australia,Australia,-31.9505,115.8605,2/28/20,0,0
Australian Capital Territory,Australia,-35.4735,149.0124,2/29/20,0,0
New South Wales,Australia,-33.8688,151.2093,2/29/20,4,0
Northern Territory,Australia,-12.4634,130.8456,2/29/20,0,0
Queensland,Australia,-28.0167,153.4,2/29/20,9,0
South Australia,Australia,-34.9285,138.6007,2/29/20,3,0
Tasmania,Australia,-41.4545,145.9707,2/29/20,0,0
Victoria,Australia,-37.8136,144.9631,2/29/20,7,0
Western Australia,Australia,-31.9505,115.8605,2/29/20,2,0
Australian Capital Territory,Australia,-35.4735,149.0124,3/1/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/1/20,6,0
Northern Territory,Australia,-12.4634,130.8456,3/1/20,0,0
Queensland,Australia,-28.0167,153.4,3/1/20,9,0
South Australia,Australia,-34.9285,138.6007,3/1/20,3,0
Tasmania,Australia,-41.4545,145.9707,3/1/20,0,0
Victoria,Australia,-37.8136,144.9631,3/1/20,7,0
Western Australia,Australia,-31.9505,115.8605,3/1/20,2,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/2/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/2/20,6,0
Northern Territory,Australia,-12.4634,130.8456,3/2/20,0,0
Queensland,Australia,-28.0167,153.4,3/2/20,9,0
South Australia,Australia,-34.9285,138.6007,3/2/20,3,0
Tasmania,Australia,-41.4545,145.9707,3/2/20,1,0
Victoria,Australia,-37.8136,144.9631,3/2/20,9,0
Western Australia,Australia,-31.9505,115.8605,3/2/20,2,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/3/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/3/20,13,0
Northern Territory,Australia,-12.4634,130.8456,3/3/20,0,0
Queensland,Australia,-28.0167,153.4,3/3/20,11,0
South Australia,Australia,-34.9285,138.6007,3/3/20,3,0
Tasmania,Australia,-41.4545,145.9707,3/3/20,1,0
Victoria,Australia,-37.8136,144.9631,3/3/20,9,0
Western Australia,Australia,-31.9505,115.8605,3/3/20,2,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/4/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/4/20,22,1
Northern Territory,Australia,-12.4634,130.8456,3/4/20,1,0
Queensland,Australia,-28.0167,153.4,3/4/20,11,0
South Australia,Australia,-34.9285,138.6007,3/4/20,5,0
Tasmania,Australia,-41.4545,145.9707,3/4/20,1,0
Victoria,Australia,-37.8136,144.9631,3/4/20,10,0
Western Australia,Australia,-31.9505,115.8605,3/4/20,2,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/5/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/5/20,22,1
Northern Territory,Australia,-12.4634,130.8456,3/5/20,1,0
Queensland,Australia,-28.0167,153.4,3/5/20,13,0
South Australia,Australia,-34.9285,138.6007,3/5/20,5,0
Tasmania,Australia,-41.4545,145.9707,3/5/20,1,0
Victoria,Australia,-37.8136,144.9631,3/5/20,10,0
Western Australia,Australia,-31.9505,115.8605,3/5/20,3,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/6/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/6/20,26,1
Northern Territory,Australia,-12.4634,130.8456,3/6/20,0,0
Queensland,Australia,-28.0167,153.4,3/6/20,13,0
South Australia,Australia,-34.9285,138.6007,3/6/20,7,0
Tasmania,Australia,-41.4545,145.9707,3/6/20,1,0
Victoria,Australia,-37.8136,144.9631,3/6/20,10,0
Western Australia,Australia,-31.9505,115.8605,3/6/20,3,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/7/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/7/20,28,1
Northern Territory,Australia,-12.4634,130.8456,3/7/20,0,0
Queensland,Australia,-28.0167,153.4,3/7/20,13,0
South Australia,Australia,-34.9285,138.6007,3/7/20,7,0
Tasmania,Australia,-41.4545,145.9707,3/7/20,1,0
Victoria,Australia,-37.8136,144.9631,3/7/20,11,0
Western Australia,Australia,-31.9505,115.8605,3/7/20,3,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/8/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/8/20,38,2
Northern Territory,Australia,-12.4634,130.8456,3/8/20,0,0
Queensland,Australia,-28.0167,153.4,3/8/20,15,0
South Australia,Australia,-34.9285,138.6007,3/8/20,7,0
Tasmania,Australia,-41.4545,145.9707,3/8/20,2,0
Victoria,Australia,-37.8136,144.9631,3/8/20,11,0
Western Australia,Australia,-31.9505,115.8605,3/8/20,3,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/9/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/9/20,48,2
Northern Territory,Australia,-12.4634,130.8456,3/9/20,0,0
Queensland,Australia,-28.0167,153.4,3/9/20,15,0
South Australia,Australia,-34.9285,138.6007,3/9/20,7,0
Tasmania,Australia,-41.4545,145.9707,3/9/20,2,0
Victoria,Australia,-37.8136,144.9631,3/9/20,15,0
Western Australia,Australia,-31.9505,115.8605,3/9/20,4,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/10/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/10/20,55,2
Northern Territory,Australia,-12.4634,130.8456,3/10/20,1,0
Queensland,Australia,-28.0167,153.4,3/10/20,18,0
South Australia,Australia,-34.9285,138.6007,3/10/20,7,0
Tasmania,Australia,-41.4545,145.9707,3/10/20,2,0
Victoria,Australia,-37.8136,144.9631,3/10/20,18,0
Western Australia,Australia,-31.9505,115.8605,3/10/20,6,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/11/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/11/20,65,2
Northern Territory,Australia,-12.4634,130.8456,3/11/20,1,0
Queensland,Australia,-28.0167,153.4,3/11/20,20,0
South Australia,Australia,-34.9285,138.6007,3/11/20,9,0
Tasmania,Australia,-41.4545,145.9707,3/11/20,3,0
Victoria,Australia,-37.8136,144.9631,3/11/20,21,0
Western Australia,Australia,-31.9505,115.8605,3/11/20,9,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/12/20,0,0
New South Wales,Australia,-33.8688,151.2093,3/12/20,65,2
Northern Territory,Australia,-12.4634,130.8456,3/12/20,1,0
Queensland,Australia,-28.0167,153.4,3/12/20,20,0
South Australia,Australia,-34.9285,138.6007,3/12/20,9,0
Tasmania,Australia,-41.4545,145.9707,3/12/20,3,0
Victoria,Australia,-37.8136,144.9631,3/12/20,21,0
Western Australia,Australia,-31.9505,115.8605,3/12/20,9,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/13/20,1,0
New South Wales,Australia,-33.8688,151.2093,3/13/20,92,2
Northern Territory,Australia,-12.4634,130.8456,3/13/20,1,0
Queensland,Australia,-28.0167,153.4,3/13/20,35,0
South Australia,Australia,-34.9285,138.6007,3/13/20,16,0
Tasmania,Australia,-41.4545,145.9707,3/13/20,5,0
Victoria,Australia,-37.8136,144.9631,3/13/20,36,0
Western Australia,Australia,-31.9505,115.8605,3/13/20,14,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/14/20,1,0
New South Wales,Australia,-33.8688,151.2093,3/14/20,112,2
Northern Territory,Australia,-12.4634,130.8456,3/14/20,1,0
Queensland,Australia,-28.0167,153.4,3/14/20,46,0
South Australia,Australia,-34.9285,138.6007,3/14/20,19,0
Tasmania,Australia,-41.4545,145.9707,3/14/20,5,0
Victoria,Australia,-37.8136,144.9631,3/14/20,49,0
Western Australia,Australia,-31.9505,115.8605,3/14/20,17,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/15/20,1,0
New South Wales,Australia,-33.8688,151.2093,3/15/20,134,2
Northern Territory,Australia,-12.4634,130.8456,3/15/20,1,0
Queensland,Australia,-28.0167,153.4,3/15/20,61,0
South Australia,Australia,-34.9285,138.6007,3/15/20,20,0
Tasmania,Australia,-41.4545,145.9707,3/15/20,6,0
Victoria,Australia,-37.8136,144.9631,3/15/20,57,0
Western Australia,Australia,-31.9505,115.8605,3/15/20,17,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/16/20,2,0
New South Wales,Australia,-33.8688,151.2093,3/16/20,171,2
Northern Territory,Australia,-12.4634,130.8456,3/16/20,1,0
Queensland,Australia,-28.0167,153.4,3/16/20,68,0
South Australia,Australia,-34.9285,138.6007,3/16/20,29,0
Tasmania,Australia,-41.4545,145.9707,3/16/20,7,0
Victoria,Australia,-37.8136,144.9631,3/16/20,71,0
Western Australia,Australia,-31.9505,115.8605,3/16/20,28,1
Australian Capital Territory,Australia,-35.4735,149.0124,3/17/20,2,0
New South Wales,Australia,-33.8688,151.2093,3/17/20,210,4
Northern Territory,Australia,-12.4634,130.8456,3/17/20,1,0
Queensland,Australia,-28.0167,153.4,3/17/20,78,0
South Australia,Australia,-34.9285,138.6007,3/17/20,29,0
Tasmania,Australia,-41.4545,145.9707,3/17/20,7,0
Victoria,Australia,-37.8136,144.9631,3/17/20,94,0
